Date,Hour,Minute,Volume
20170104,24,0,18260.20
20170105,0,15,18086.30
20170105,0,30,18062.00
20170105,0,45,18302.40
20170105,1,0,18259.20
20170105,1,15,18475.40
20170105,1,30,18266.40
20170105,1,45,18261.20
20170105,2,0,18254.20
20170105,2,15,18065.00
20170105,2,30,18070.10
20170105,2,45,18039.40
20170105,3,0,18109.90
20170105,3,15,18113.80
20170105,3,30,18198.60
20170105,3,45,18094.20
20170105,4,0,18118.20
20170105,4,15,18240.10
20170105,4,30,18400.50
20170105,4,45,18480.90
20170105,5,0,18716.40
20170105,5,15,18656.30
20170105,5,30,18816.70
20170105,5,45,19041.20
20170105,6,0,19434.10
20170105,6,15,20004.80
20170105,6,30,20454.00
20170105,6,45,20970.90
20170105,7,0,21749.00
20170105,7,15,22326.70
20170105,7,30,22446.00
20170105,7,45,22345.00
20170105,8,0,22570.10
20170105,8,15,22941.40
20170105,8,30,23248.20
20170105,8,45,23534.80
20170105,9,0,23583.90
20170105,9,15,23635.60
20170105,9,30,23926.10
20170105,9,45,23819.60
20170105,10,0,23606.30
20170105,10,15,23534.50
20170105,10,30,23726.30
20170105,10,45,23943.50
20170105,11,0,24036.70
20170105,11,15,24047.40
20170105,11,30,23976.70
20170105,11,45,24139.70
20170105,12,0,24042.60
20170105,12,15,24102.00
20170105,12,30,23980.90
20170105,12,45,24083.70
20170105,13,0,24254.00
20170105,13,15,24464.80
20170105,13,30,24250.00
20170105,13,45,24043.10
20170105,14,0,23577.60
20170105,14,15,23875.20
20170105,14,30,23809.20
20170105,14,45,23892.00
20170105,15,0,23767.70
20170105,15,15,23448.10
20170105,15,30,23580.70
20170105,15,45,23685.90
20170105,16,0,24143.60
20170105,16,15,24703.70
20170105,16,30,25072.40
20170105,16,45,25204.00
20170105,17,0,25356.50
20170105,17,15,25009.50
20170105,17,30,25172.20
20170105,17,45,25143.20
20170105,18,0,24881.30
20170105,18,15,24458.70
20170105,18,30,24736.10
20170105,18,45,24737.00
20170105,19,0,24566.50
20170105,19,15,24549.50
20170105,19,30,24566.00
20170105,19,45,24467.00
20170105,20,0,24162.50
20170105,20,15,23907.20
20170105,20,30,23713.00
20170105,20,45,23477.30
20170105,21,0,23286.00
20170105,21,15,22844.30
20170105,21,30,22301.60
20170105,21,45,21856.00
20170105,22,0,21352.30
20170105,22,15,21234.00
20170105,22,30,20980.10
20170105,22,45,20646.50
20170105,23,0,20247.30
20170105,23,15,19853.20
20170105,23,30,19510.60
20170105,23,45,19099.20
20170105,24,0,18815.50
20170106,0,15,18628.70
20170106,0,30,18338.60
20170106,0,45,18173.30
20170106,1,0,17902.00
20170106,1,15,17742.50
20170106,1,30,17663.90
20170106,1,45,17427.20
20170106,2,0,17302.10
20170106,2,15,17245.70
20170106,2,30,17267.50
20170106,2,45,17205.00
20170106,3,0,17198.90
20170106,3,15,17190.70
20170106,3,30,17126.50
20170106,3,45,17080.40
20170106,4,0,17037.00
20170106,4,15,17127.70
20170106,4,30,17105.90
20170106,4,45,16998.80
20170106,5,0,16996.60
20170106,5,15,17050.50
20170106,5,30,16926.00
20170106,5,45,16681.60
20170106,6,0,16526.10
20170106,6,15,16642.10
20170106,6,30,16969.90
20170106,6,45,17180.80
20170106,7,0,16817.40
